Time,Thumb,Index,Middle,Ring,Pinky
13693,711193.75,158698.52,89220.87,67338.78,60949.38
13809,711193.75,169323.44,93790.0,69538.46,62329.94
13911,814407.1,166544.6,92843.25,68977.09,62329.94
14010,952024.94,169323.44,92843.25,68423.45,60949.38
14109,877923.06,161235.81,88354.32,65766.0,59187.19
14227,877923.06,172190.48,94754.13,70685.11,63280.0
14327,711193.75,166544.6,92843.25,68977.09,62329.94
14426,759360.06,163850.0,92843.25,69538.46,62801.92
14526,711193.75,156234.78,87502.57,65766.0,59187.19
14626,630916.7,153841.42,88354.32,66283.22,60500.62
14743,566695.0,158698.52,91913.39,68977.09,62329.94
14844,491304.38,151515.5,88354.32,67338.78,61403.77
14943,491304.38,149254.17,88354.32,66807.44,60500.62
15043,470362.47,140803.95,84236.36,63764.28,57920.96
15160,470362.47,149254.17,89220.87,67877.39,61403.77
15260,470362.47,149254.17,88354.32,67338.78,60949.38
15360,539171.44,156234.78,90102.64,68423.45,61863.92
15460,597115.8,151515.5,86665.26,65255.64,58760.0
15560,759360.06,156234.78,88354.32,66283.22,60057.41
15677,814407.1,172190.48,94754.13,70107.75,62801.92
15777,877923.06,166544.6,91913.39,68977.09,62329.94
15877,1039600.06,172190.48,93790.0,69538.46,61863.92
15976,877923.06,161235.81,89220.87,66283.22,59187.19
16093,814407.1,169323.44,93790.0,70107.75,63280.0
16193,711193.75,163850.0,91913.39,68977.09,62329.94
16294,711193.75,161235.81,91913.39,68977.09,62801.92
16393,668694.06,156234.78,88354.32,66283.22,59619.63
16494,566695.0,149254.17,86665.26,65766.0,60057.41
16610,491304.38,153841.42,90102.64,68423.45,62329.94
16710,491304.38,149254.17,88354.32,67338.78,60949.38
16810,470362.47,149254.17,88354.32,67338.78,60500.62
16910,451095.97,140803.95,83453.28,63764.28,57920.96
17027,470362.47,149254.17,88354.32,67338.78,61403.77
17127,539171.44,156234.78,89220.87,67338.78,61403.77
17227,630916.7,156234.78,90102.64,67877.39,61863.92
17327,759360.06,158698.52,88354.32,66283.22,59187.19
17426,759360.06,156234.78,88354.32,65766.0,59619.63
17544,877923.06,169323.44,94754.13,70107.75,62801.92
17643,952024.94,166544.6,92843.25,68977.09,61863.92
17744,952024.94,172190.48,93790.0,69538.46,62329.94
17844,877923.06,161235.81,89220.87,66283.22,59619.63
17961,814407.1,169323.44,93790.0,69538.46,62801.92
18060,668694.06,166544.6,92843.25,69538.46,62329.94
18160,711193.75,161235.81,91913.39,68977.09,62329.94
18261,630916.7,153841.42,88354.32,66283.22,60057.41
18361,597115.8,149254.17,85842.02,65255.64,59187.19
18477,514150.03,158698.52,91000.0,68977.09,62329.94
18577,470362.47,149254.17,88354.32,67338.78,60949.38
18677,470362.47,149254.17,88354.32,67338.78,60949.38
18777,470362.47,140803.95,84236.36,63764.28,57920.96
18878,491304.38,147054.78,87502.57,66807.44,61403.77
18995,630916.7,156234.78,90102.64,67877.39,61403.77
19095,759360.06,161235.81,91000.0,68423.45,61863.92
19194,952024.94,163850.0,90102.64,66807.44,60057.41
19295,952024.94,161235.81,88354.32,65766.0,59187.19
19411,952024.94,175150.0,95736.1,70685.11,63280.0
19510,952024.94,175150.0,94754.13,69538.46,62329.94
19612,952024.94,175150.0,94754.13,70107.75,62801.92
19711,759360.06,158698.52,89220.87,66283.22,59619.63
19828,814407.1,166544.6,92843.25,68977.09,62329.94
19929,668694.06,163850.0,92843.25,69538.46,62329.94
20028,668694.06,158698.52,91000.0,68423.45,62329.94
20128,566695.0,156234.78,89220.87,66807.44,60057.41
20228,566695.0,149254.17,86665.26,64751.97,58760.0
20344,514150.03,153841.42,91000.0,68977.09,62329.94
20444,514150.03,151515.5,88354.32,66807.44,61403.77
20544,470362.47,149254.17,89220.87,67877.39,61863.92
20644,514150.03,142832.0,84236.36,64254.9,58337.95
20762,539171.44,149254.17,86665.26,65766.0,60057.41
20861,668694.06,158698.52,91000.0,68423.45,61403.77
20961,759360.06,161235.81,91000.0,68423.45,61863.92
21062,814407.1,163850.0,91000.0,67877.39,60500.62
21162,952024.94,158698.52,88354.32,65766.0,58760.0
21279,877923.06,172190.48,94754.13,70685.11,63280.0
21378,952024.94,169323.44,92843.25,69538.46,62329.94
21478,759360.06,166544.6,93790.0,69538.46,63280.0
21578,759360.06,158698.52,88354.32,65766.0,59187.19
21695,711193.75,156234.78,88354.32,66807.44,60500.62
21794,597115.8,161235.81,92843.25,68977.09,62329.94
21895,566695.0,156234.78,90102.64,67877.39,61863.92
21995,491304.38,151515.5,88354.32,66807.44,60500.62
22094,470362.47,142832.0,84236.36,64254.9,58337.95
22212,491304.38,149254.17,89220.87,67877.39,61863.92
22311,451095.97,147054.78,87502.57,66807.44,60949.38
22412,470362.47,149254.17,88354.32,67338.78,61863.92
22512,470362.47,144914.88,85032.51,64254.9,58337.95
22629,491304.38,144914.88,85842.02,65255.64,59619.63
22728,491304.38,151515.5,90102.64,67877.39,61403.77
22829,470362.47,149254.17,87502.57,66807.44,60949.38
22927,491304.38,149254.17,88354.32,66807.44,60057.41
23029,491304.38,142832.0,84236.36,63764.28,57920.96
23145,491304.38,149254.17,88354.32,67877.39,61403.77
